Problem,Ha,pHa,La,Hb,pHb,Lb,Manipulation,Amb,LotShape,LotNum,Corr,av1,ap1,av2,ap2,bv1,bp1,bv2,bp2,bv3,bp3,bv4,bp4,bv5,bp5,bv6,bp6,bv7,bp7,bv8,bp8,bv9,bp9,bv10,bp10,B1,B2,B3,B4,B5,evA,evB,minA,minB,dMins,maxA,maxB,dMaxs,UEVa,UEVb,dEV0,dEV,dEVfb,dUniEV,EVsa,EVsb,dSignEV,dMins,sdA,sdB,countA,countB,usdA,usdB,ssdA,ssdB,dSD,SignMax,RatioMin
124,15,0.95,7,42,0.01,19,0,0,-,1,0,7,0.05,15,0.95,19,0.99,42,0.01,,,,,,,,,,,,,,,,,0.85,0.96,0.97,0.97,0.98,14.6,19.23,7,19,12,15,42,27,11,30.5,4.63,4.63,4.63,19.5,1,1,0,12,1.743559577,2.288471105,2,2,4,11.5,0,0,0.544911528,1,0.368421053
125,28,1,28,41,0.4,12,0,0,-,1,0,28,1,,,12,0.6,41,0.4,,,,,,,,,,,,,,,,,0.29,0.36,0.33,0.33,0.36,28,23.6,28,12,-16,28,41,13,28,26.5,-4.4,-4.4,-4.4,-1.5,1,1,0,-16,0,14.20704051,1,2,0,14.5,0,0,14.20704051,1,0.428571429
126,-8,1,-8,80,0.2,-18,2,0,Symm,7,0,-8,1,,,-18,0.8,77,0.003125,78,0.01875,79,0.046875,80,0.0625,81,0.046875,82,0.01875,83,0.003125,,,,,0.53,0.52,0.51,0.49,0.52,-8,1.6,-8,-18,-10,-8,83,91,-8,67.75,9.6,9.6,9.6,75.75,-1,-0.6,0.4,-10,0,39.20382634,1,8,0,32.46440358,0,0.8,39.20382634,1,0.444444444
127,4,1,4,29,0.6,-40,0,1,-,1,0,4,1,,,-40,0.4,29,0.6,,,,,,,,,,,,,,,,,0.26,0.33,0.44,0.46,0.44,4,1.4,4,-40,-44,4,29,25,4,-5.5,-17.83333333,-2.6,-10.21666667,-9.5,1,0.2,-0.8,-44,0,33.80295845,1,2,0,34.5,0,0.979795897,33.80295845,1,0.1
128,-3,1,-3,32,0.4,-16,0,0,-,1,0,-3,1,,,-16,0.6,32,0.4,,,,,,,,,,,,,,,,,0.64,0.57,0.56,0.57,0.56,-3,3.2,-3,-16,-13,-3,32,35,-3,8,6.2,6.2,6.2,11,-1,-0.2,0.8,-13,0,23.51510153,1,2,0,24,0,0.979795897,23.51510153,1,0.1875
129,-2,1,-2,-2,1,-2,2,0,Symm,9,0,-2,1,,,-6,0.00390625,-5,0.03125,-4,0.109375,-3,0.21875,-2,0.2734375,-1,0.21875,0,0.109375,1,0.03125,2,0.00390625,,,0.46,0.53,0.51,0.48,0.53,-2,-2,-2,-6,-4,-2,2,4,-2,-2,0,0,0,0,-1,-0.8203125,0.1796875,-4,0,1.414213562,1,9,0,2.581988897,0,0.466596616,1.414213562,1,0.333333333
130,72,0.4,-41,16,0.01,1,0,0,-,1,0,-41,0.6,72,0.4,1,0.99,16,0.01,,,,,,,,,,,,,,,,,0.61,0.6,0.56,0.54,0.54,4.2,1.15,-41,1,42,72,16,-56,15.5,8.5,-3.05,-3.05,-3.05,-7,-0.2,1,1.2,42,55.35846819,1.492481156,2,2,56.5,7.5,0.979795897,0,-53.86598703,1,0.024390244
131,18,1,18,45,0.01,11,0,0,-,1,0,18,1,,,11,0.99,45,0.01,,,,,,,,,,,,,,,,,0.19,0.09,0.08,0.08,0.06,18,11.34,18,11,-7,18,45,27,18,28,-6.66,-6.66,-6.66,10,1,1,0,-7,0,3.382957286,1,2,0,17,0,0,3.382957286,1,0.611111111
132,11,1,11,20,0.99,4,2,0,Symm,7,0,11,1,,,4,0.01,17,0.01546875,18,0.0928125,19,0.23203125,20,0.309375,21,0.23203125,22,0.0928125,23,0.01546875,,,,,0.81,0.94,0.97,0.97,0.98,11,19.84,11,4,-7,11,23,12,11,18,8.84,8.84,8.84,7,1,1,0,-7,0,2.004844134,1,8,0,5.61248608,0,0,2.004844134,1,0.363636364
133,3,1,3,8,0.99,-17,2,0,Symm,9,0,3,1,,,-17,0.01,4,0.003867188,5,0.0309375,6,0.10828125,7,0.2165625,8,0.270703125,9,0.2165625,10,0.10828125,11,0.0309375,12,0.003867188,0.71,0.91,0.92,0.92,0.94,3,7.75,3,-17,-20,3,12,9,3,5.5,4.75,4.75,4.75,2.5,1,0.98,-0.02,-20,0,2.857883832,1,10,0,7.889866919,0,0.198997487,2.857883832,1,0.176470588
134,27,0.05,24,31,0.5,10,2,0,Symm,3,0,24,0.95,27,0.05,10,0.5,30,0.125,31,0.25,32,0.125,,,,,,,,,,,,,0.34,0.34,0.38,0.38,0.37,24.15,20.5,24,10,-14,27,32,5,25.5,25.75,-3.65,-3.65,-3.65,0.25,1,1,0,-14,0.653834842,10.51189802,2,4,1.5,9.120718173,0,0,9.858063179,1,0.416666667
135,6,1,6,8,0.5,-1,0,0,-,1,0,6,1,,,-1,0.5,8,0.5,,,,,,,,,,,,,,,,,0.25,0.32,0.31,0.29,0.29,6,3.5,6,-1,-7,6,8,2,6,3.5,-2.5,-2.5,-2.5,-2.5,1,0,-1,-7,0,4.5,1,2,0,4.5,0,1,4.5,1,0.166666667
136,4,1,4,25,0.01,-5,0,0,-,1,0,4,1,,,-5,0.99,25,0.01,,,,,,,,,,,,,,,,,0.16,0.07,0.07,0.05,0.05,4,-4.7,4,-5,-9,4,25,21,4,10,-8.7,-8.7,-8.7,6,1,-0.98,-1.98,-9,0,2.984962311,1,2,0,15,0,0.198997487,2.984962311,1,0.8
137,3,1,3,4,0.4,3,2,1,Symm,5,0,3,1,,,2,0.025,3,0.7,4,0.15,5,0.1,6,0.025,,,,,,,,,,,0.73,0.86,0.9,0.9,0.9,3,3.4,3,2,-1,3,6,3,3,4,0,0.4,0.2,1,1,1,0,-1,0,0.8,1,5,0,1.414213562,0,0,0.8,1,0.666666667
138,23,1,23,21,0.8,16,0,0,-,1,0,23,1,,,16,0.2,21,0.8,,,,,,,,,,,,,,,,,0.13,0.07,0.01,0.02,0.02,23,20,23,16,-7,23,21,-2,23,18.5,-3,-3,-3,-4.5,1,1,0,-7,0,2,1,2,0,2.5,0,0,2,1,0.695652174
139,14,1,14,35,0.6,-9,2,0,Symm,7,0,14,1,,,-9,0.4,32,0.009375,33,0.05625,34,0.140625,35,0.1875,36,0.140625,37,0.05625,38,0.009375,,,,,0.48,0.67,0.7,0.64,0.65,14,17.4,14,-9,-23,14,38,24,14,29.5,3.4,3.4,3.4,15.5,1,0.2,-0.8,-23,0,21.57637597,1,8,0,14.67140075,0,0.979795897,21.57637597,1,0.642857143
140,-2,1,-2,9,0.25,8,0,0,-,1,0,-2,1,,,8,0.75,9,0.25,,,,,,,,,,,,,,,,,0.91,0.98,0.98,0.99,0.98,-2,8.25,-2,8,10,-2,9,11,-2,8.5,10.25,10.25,10.25,10.5,-1,1,2,10,0,0.433012702,1,2,0,0.5,0,0,0.433012702,1,0.25
141,28,0.8,-26,22,0.75,2,0,0,-,1,0,-26,0.2,28,0.8,2,0.25,22,0.75,,,,,,,,,,,,,,,,,0.77,0.7,0.62,0.6,0.62,17.2,17,-26,2,28,28,22,-6,1,12,-0.2,-0.2,-0.2,11,0.6,1,0.4,28,21.6,8.660254038,2,2,27,10,0.8,0,-12.93974596,1,0.076923077
142,23,1,23,29,0.8,-8,0,0,-,1,0,23,1,,,-8,0.2,29,0.8,,,,,,,,,,,,,,,,,0.3,0.44,0.43,0.51,0.54,23,21.6,23,-8,-31,23,29,6,23,10.5,-1.4,-1.4,-1.4,-12.5,1,0.6,-0.4,-31,0,14.8,1,2,0,18.5,0,0.8,14.8,1,0.347826087
143,67,0.5,-39,93,0.25,-15,0,0,-,1,0,-39,0.5,67,0.5,-15,0.75,93,0.25,,,,,,,,,,,,,,,,,0.53,0.58,0.54,0.6,0.63,14,12,-39,-15,24,67,93,26,14,39,-2,-2,-2,25,0,-0.5,-0.5,24,53,46.7653718,2,2,53,54,1,0.866025404,-6.234628196,1,0.384615385
144,16,0.8,12,15,1,15,2,0,Symm,9,0,12,0.2,16,0.8,11,0.00390625,12,0.03125,13,0.109375,14,0.21875,15,0.2734375,16,0.21875,17,0.109375,18,0.03125,19,0.00390625,,,0.42,0.5,0.44,0.42,0.42,15.2,15,12,11,-1,16,19,3,14,15,-0.2,-0.2,-0.2,1,1,1,0,-1,1.6,1.414213562,2,9,2,2.581988897,0,0,-0.185786438,1,0.916666667
145,17,0.5,-27,3,0.75,-35,2,0,Symm,7,0,-27,0.5,17,0.5,-35,0.25,0,0.01171875,1,0.0703125,2,0.17578125,3,0.234375,4,0.17578125,5,0.0703125,6,0.01171875,,,,,0.42,0.43,0.42,0.34,0.34,-5,-6.5,-27,-35,-8,17,6,-11,-5,-1.75,-1.5,-1.5,-1.5,3.25,0,0.48828125,0.48828125,-8,22,16.48863245,2,8,22,12.70580576,1,0.865946113,-5.511367552,1,0.771428571
146,45,0.2,3,75,0.05,13,2,0,Symm,5,0,3,0.8,45,0.2,13,0.95,73,0.003125,74,0.0125,75,0.01875,76,0.0125,77,0.003125,,,,,,,,,0.79,0.82,0.84,0.87,0.84,11.4,16.1,3,13,10,45,77,32,24,64.66666667,4.7,4.7,4.7,40.66666667,1,1,0,10,16.8,13.51443673,2,6,21,23.14207328,0,0,-3.285563275,1,0.230769231
147,29,1,29,36,0.1,32,2,0,Symm,7,0,29,1,,,32,0.9,33,0.0015625,34,0.009375,35,0.0234375,36,0.03125,37,0.0234375,38,0.009375,39,0.0015625,,,,,0.88,0.96,0.99,0.98,0.97,29,32.4,29,32,3,29,39,10,29,35.5,3.4,3.4,3.4,6.5,1,1,0,3,0,1.260952021,1,8,0,2.291287847,0,0,1.260952021,1,0.90625
148,65,0.01,1,12,0.01,3,0,1,-,1,-1,1,0.99,65,0.01,3,0.99,12,0.01,,,,,,,,,,,,,,,,,0.73,0.81,0.82,0.84,0.85,1.64,3.09,1,3,2,65,12,-53,33,7.5,2.406666667,1.45,1.928333333,-25.5,1,1,0,2,6.367919597,0.895488693,2,2,32,4.5,0,0,-5.472430904,1,0.333333333
149,12,1,12,31,0.1,12,2,0,Symm,3,0,12,1,,,12,0.9,30,0.025,31,0.05,32,0.025,,,,,,,,,,,,,0.86,0.9,0.92,0.91,0.94,12,13.9,12,12,0,12,32,20,12,26.25,1.9,1.9,1.9,14.25,1,1,0,0,0,5.704384279,1,4,0,8.257572282,0,0,5.704384279,1,1
150,16,1,16,24,0.05,12,1,0,L-skew,3,0,16,1,,,12,0.95,20,0.0125,24,0.0125,26,0.025,,,,,,,,,,,,,0.35,0.25,0.22,0.19,0.17,16,12.6,16,12,-4,16,26,10,16,20.5,-3.4,-3.4,-3.4,4.5,1,1,0,-4,0,2.672077843,1,4,0,5.361902647,0,1.11022E-16,2.672077843,1,0.75
