Problem,Ha,pHa,La,Hb,pHb,Lb,Manipulation,Amb,LotShape,LotNum,Corr,av1,ap1,av2,ap2,bv1,bp1,bv2,bp2,bv3,bp3,bv4,bp4,bv5,bp5,bv6,bp6,bv7,bp7,bv8,bp8,bv9,bp9,bv10,bp10,B1,B2,B3,B4,B5,evA,evB,minA,minB,dMins,maxA,maxB,dMaxs,UEVa,UEVb,dEV0,dEV,dEVfb,dUniEV,EVsa,EVsb,dSignEV,dMins.1,sdA,sdB,countA,countB,usdA,usdB,ssdA,ssdB,dSD,SignMax,RatioMin,pBetter0,pBetterFB,pBetterU,pBetterS,pBetterSFB,Dom
11,19,1.0,19,20,0.9,-20,abstract,0,-,1,0,19,1.0,,,-20,0.1,20.0,0.9,,,,,,,,,,,,,,,,,0.1328,0.2192,0.208,0.1968,0.2064,19.0,16.0,19,-20,-39,19,20,1,19.0,0.0,-3.0,-3.0,-3.0,-19.0,1.0,0.8,-0.2,-39,0.0,12.0,1,2,0.0,20.0,0.0,0.6,12.0,1,0.95,0.1919191919191918,3.0000000000000013,0.6565656565656561,0.2727272727272727,4.999999999999999,1
12,0,1.0,0,50,0.5,-50,abstract,0,-,1,0,0,1.0,,,-50,0.5,50.0,0.5,,,,,,,,,,,,,,,,,0.3376,0.4128,0.4304,0.4352,0.3808,0.0,0.0,0,-50,-50,0,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50,0.0,50.0,1,2,0.0,50.0,0.0,1.0,50.0,1,0.0,-3.122502256758253e-17,0.0526315789473684,-3.122502256758253e-17,-3.122502256758253e-17,0.0526315789473684,1
13,0,1.0,0,50,0.5,-50,AcRj,0,-,1,0,0,1.0,,,-50,0.5,50.0,0.5,,,,,,,,,,,,,,,,,0.3616,0.3696,0.4,0.3712,0.36,0.0,0.0,0,-50,-50,0,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50,0.0,50.0,1,2,0.0,50.0,0.0,1.0,50.0,1,0.0,-3.122502256758253e-17,0.0526315789473684,-3.122502256758253e-17,-3.122502256758253e-17,0.0526315789473684,1
14,0,1.0,0,1,0.5,-1,abstract,0,-,1,0,0,1.0,,,-1,0.5,1.0,0.5,,,,,,,,,,,,,,,,,0.4912,0.4512,0.4208,0.4064,0.376,0.0,0.0,0,-1,-1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,1.0,1,2,0.0,1.0,0.0,1.0,1.0,1,0.0,-3.122502256758253e-17,0.0526315789473684,-3.122502256758253e-17,-3.122502256758253e-17,0.0526315789473684,1
15,7,1.0,7,50,0.5,1,abstract,0,-,1,0,7,1.0,,,1,0.5,50.0,0.5,,,,,,,,,,,,,,,,,0.7824,0.8432,0.8784,0.8288,0.8464,7.0,25.5,7,1,-6,7,50,43,7.0,25.5,18.5,18.5,18.5,18.5,1.0,1.0,0.0,-6,0.0,24.5,1,2,0.0,24.5,0.0,0.0,24.5,1,0.142857143,-0.5555555555555556,-10.999999999999968,-0.5555555555555556,0.0,-1.1102230246251563e-16,1
16,7,1.0,7,50,0.5,-1,abstract,0,-,1,0,7,1.0,,,-1,0.5,50.0,0.5,,,,,,,,,,,,,,,,,0.7072,0.7904,0.8128,0.832,0.8304,7.0,24.5,7,-1,-8,7,50,43,7.0,24.5,17.5,17.5,17.5,17.5,1.0,0.0,-1.0,-8,0.0,25.5,1,2,0.0,25.5,0.0,1.0,25.5,1,0.142857143,-0.5151515151515154,-10.999999999999968,-0.5151515151515154,0.6969696969696964,12.999999999999956,1
17,30,1.0,30,50,0.5,1,abstract,0,-,1,0,30,1.0,,,1,0.5,50.0,0.5,,,,,,,,,,,,,,,,,0.2384,0.3296,0.3248,0.304,0.2896,30.0,25.5,30,1,-29,30,50,20,30.0,25.5,-4.5,-4.5,-4.5,-4.5,1.0,1.0,0.0,-29,0.0,24.5,1,2,0.0,24.5,0.0,0.0,24.5,1,0.033333333,0.1515151515151514,3.0000000000000013,0.1515151515151514,0.0,-1.1102230246251563e-16,1
18,30,1.0,30,50,0.5,-1,abstract,0,-,1,0,30,1.0,,,-1,0.5,50.0,0.5,,,,,,,,,,,,,,,,,0.232,0.328,0.4032,0.3328,0.3328,30.0,24.5,30,-1,-31,30,50,20,30.0,24.5,-5.5,-5.5,-5.5,-5.5,1.0,0.0,-1.0,-31,0.0,25.5,1,2,0.0,25.5,0.0,1.0,25.5,1,0.033333333,0.1717171717171716,3.0000000000000013,0.1717171717171716,0.6969696969696964,12.999999999999956,1
19,9,1.0,9,9,1.0,9,StPb,0,R-skew,8,0,9,1.0,,,2,0.5,4.0,0.25,8.0,0.125,16.0,0.0625,32.0,0.03125,64.0,0.015625,128.0,0.0078125,256.0,0.0078125,,,,,0.3648,0.3872,0.3568,0.3088,0.2976,9.0,9.0,9,2,-7,9,256,247,9.0,63.75,0.0,0.0,0.0,54.75,1.0,1.0,0.0,-7,0.0,26.17250466,1,8,0.0,82.8156839,0.0,0.0,26.17250466,1,0.222222222,-3.122502256758253e-17,0.0526315789473684,-0.4949494949494953,0.0,-1.1102230246251563e-16,1
20,9,1.0,9,9,1.0,9,abstract,0,R-skew,8,0,9,1.0,,,2,0.5,4.0,0.25,8.0,0.125,16.0,0.0625,32.0,0.03125,64.0,0.015625,128.0,0.0078125,256.0,0.0078125,,,,,0.376,0.376,0.392,0.3632,0.3616,9.0,9.0,9,2,-7,9,256,247,9.0,63.75,0.0,0.0,0.0,54.75,1.0,1.0,0.0,-7,0.0,26.17250466,1,8,0.0,82.8156839,0.0,0.0,26.17250466,1,0.222222222,-3.122502256758253e-17,0.0526315789473684,-0.4949494949494953,0.0,-1.1102230246251563e-16,1
21,10,0.5,0,10,0.5,0,abstract,1,-,1,0,0,0.5,10.0,0.5,0,0.5,10.0,0.5,,,,,,,,,,,,,,,,,0.3728,0.416,0.4704,0.48,0.5072,5.0,5.0,0,0,0,10,10,0,5.0,5.0,-1.666666667,0.0,-0.833333333,0.0,0.5,0.5,0.0,0,5.0,5.0,2,2,5.0,5.0,0.5,0.5,0.0,1,1.0,0.0,-1.1102230246251563e-16,0.0,0.0,-1.1102230246251563e-16,1
22,10,0.1,0,10,0.1,0,abstract,1,-,1,0,0,0.9,10.0,0.1,0,0.9,10.0,0.1,,,,,,,,,,,,,,,,,0.8208,0.8384,0.7824,0.7072,0.6592,1.0,1.0,0,0,0,10,10,0,5.0,5.0,1.0,0.0,0.5,0.0,0.1,0.1,0.0,0,3.0,3.0,2,2,5.0,5.0,0.3,0.3,0.0,1,1.0,0.0,-1.1102230246251563e-16,0.0,0.0,-1.1102230246251563e-16,1
23,10,0.9,0,10,0.9,0,abstract,1,-,1,0,0,0.1,10.0,0.9,0,0.1,10.0,0.9,,,,,,,,,,,,,,,,,0.1456,0.1616,0.2576,0.3248,0.3184,9.0,9.0,0,0,0,10,10,0,5.0,5.0,-4.333333333,0.0,-2.166666667,0.0,0.9,0.9,0.0,0,3.0,3.0,2,2,5.0,5.0,0.3,0.3,0.0,1,1.0,0.0,-1.1102230246251563e-16,0.0,0.0,-1.1102230246251563e-16,1
24,-2,1.0,-2,-1,0.5,-3,abstract,0,-,1,0,-2,1.0,,,-3,0.5,-1.0,0.5,,,,,,,,,,,,,,,,,0.4816,0.52,0.4784,0.4784,0.4496,-2.0,-2.0,-2,-3,-1,-2,-1,1,-2.0,-2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1,0.0,1.0,1,2,0.0,1.0,0.0,0.0,1.0,-1,0.666666667,-3.122502256758253e-17,0.0,-3.122502256758253e-17,0.0,-1.1102230246251563e-16,1
25,2,1.0,2,3,0.5,1,abstract,0,-,1,0,2,1.0,,,1,0.5,3.0,0.5,,,,,,,,,,,,,,,,,0.4064,0.5008,0.4592,0.4624,0.4944,2.0,2.0,2,1,-1,2,3,1,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1,0.0,1.0,1,2,0.0,1.0,0.0,0.0,1.0,1,0.5,-3.122502256758253e-17,0.0526315789473684,-3.122502256758253e-17,0.0,-1.1102230246251563e-16,1
26,16,1.0,16,50,0.4,1,abstract,0,-,1,0,16,1.0,,,1,0.6,50.0,0.4,,,,,,,,,,,,,,,,,0.4992,0.6528,0.6112,0.5968,0.5456,16.0,20.6,16,1,-15,16,50,34,16.0,25.5,4.6,4.6,4.6,9.5,1.0,1.0,0.0,-15,0.0,24.00499948,1,2,0.0,24.5,0.0,0.0,24.00499948,1,0.0625,-0.1515151515151515,-3.0000000000000013,-0.3131313131313133,0.0,-1.1102230246251563e-16,1
27,16,1.0,16,48,0.4,1,abstract,0,L-skew,3,0,16,1.0,,,1,0.6,44.0,0.1,48.0,0.1,50.0,0.2,,,,,,,,,,,,,0.504,0.568,0.6,0.5776,0.5728,16.0,19.8,16,1,-15,16,50,34,16.0,35.75,3.8,3.8,3.8,19.75,1.0,1.0,0.0,-15,0.0,23.07726154,1,4,0.0,20.17888748,0.0,0.0,23.07726154,1,0.0625,-0.1313131313131313,-3.0000000000000013,-0.6767676767676762,0.0,-1.1102230246251563e-16,1
28,6,0.5,0,9,0.5,0,abstract,0,-,1,-1,0,0.5,6.0,0.5,0,0.5,9.0,0.5,,,,,,,,,,,,,,,,,0.9088,0.8656,0.8256,0.8464,0.8432,3.0,4.5,0,0,0,6,9,3,3.0,4.5,1.5,1.5,1.5,1.5,0.5,0.5,0.0,0,3.0,4.5,2,2,3.0,4.5,0.5,0.5,1.5,1,1.0,-0.6969696969696964,-0.1515151515151514,-0.6969696969696964,0.0,3.122502256758253e-17,1
29,2,1.0,2,3,1.0,3,abstract,0,-,1,0,2,1.0,,,3,1.0,,,,,,,,,,,,,,,,,,,0.9664,0.9824,0.9904,0.9888,0.9952,2.0,3.0,2,3,1,2,3,1,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1,0.666666667,-0.999999999999998,-19.000000000000025,-0.999999999999998,0.0,-1.1102230246251563e-16,1
30,6,0.5,0,8,0.5,0,abstract,0,-,1,1,0,0.5,6.0,0.5,0,0.5,8.0,0.5,,,,,,,,,,,,,,,,,0.9424,0.9648,0.9632,0.976,0.9792,3.0,4.0,0,0,0,6,8,2,3.0,4.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0,3.0,4.0,2,2,3.0,4.0,0.5,0.5,1.0,1,1.0,-0.6969696969696964,-0.6969696969696964,-0.6969696969696964,0.0,0.0,1
31,4,1.0,4,40,0.6,-44,abstract,1,-,1,0,4,1.0,0.0,0.0,-44,0.4,40.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2321,0.3086,0.3432,0.4074,0.3654,4.0,6.4,0,-44,-44,4,40,36,2.0,-0.4,-17.46666667,2.4,-7.533333333,-2.4,1.0,0.2,-0.8,-44,0.0,41.15142768,2,10,2.0,18.79659544,0.0,0.979795897,41.15142768,1,0.0,-0.0505050505050505,-0.9999999999999996,0.111111111111111,0.5959595959595958,10.999999999999968,0
32,24,0.75,-4,82,0.25,3,abstract,0,-,1,0,-4,0.25,24.0,0.75,3,0.75,82.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6815,0.684,0.6741,0.6691,0.6864,17.0,22.75,-4,0,4,24,82,58,10.0,8.5,5.75,5.75,5.75,-1.5,0.5,1.0,0.5,4,12.12435565,34.20800345,2,10,14.0,23.30772404,0.866025404,0.0,22.0836478,1,0.0,-0.2121212121212122,-2.4736842105263155,0.1313131313131312,-0.4343434343434345,-8.999999999999979,0
33,-3,1.0,-3,14,0.4,-22,abstract,0,-,1,0,-3,1.0,0.0,0.0,-22,0.6,14.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3259,0.279,0.3062,0.2469,0.2198,-3.0,-7.6,-3,-22,-19,0,14,14,-1.5,-0.8,-4.6,-4.6,-4.6,0.7,-1.0,-0.2,0.8,-19,0.0,17.63632615,2,10,1.5,8.176062622,0.0,0.979795897,17.63632615,1,0.136363636,0.2121212121212121,4.999999999999999,-0.0909090909090909,-0.5959595959595958,-10.999999999999968,0
34,7,1.0,7,27,0.1,4,abstract,0,Symm,3,0,7,1.0,0.0,0.0,4,0.9,26.0,0.025,27.0,0.05,28.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3877,0.4469,0.4272,0.4123,0.4025,7.0,6.3,0,0,0,7,28,21,3.5,8.5,-0.7,-0.7,-0.7,5.0,1.0,1.0,0.0,0,0.0,6.903622238,2,10,3.5,10.2420701,0.0,0.0,6.903622238,1,1.0,0.0909090909090908,0.9999999999999996,-0.5555555555555556,0.0,-1.1102230246251563e-16,0
35,-5,1.0,-5,47,0.01,-15,abstract,0,-,1,0,-5,1.0,0.0,0.0,-15,0.99,47.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1753,0.0889,0.042,0.0272,0.0494,-5.0,-14.38,-5,-15,-10,0,47,47,-2.5,3.2,-9.38,-9.38,-9.38,5.7,-1.0,-0.98,0.02,-10,0.0,6.16892211,2,10,2.5,14.9989333,0.0,0.198997487,6.16892211,1,0.333333333,0.8787878787878773,16.999999999999968,-0.3535353535353537,-0.0909090909090909,-0.9999999999999996,0
36,28,1.0,28,88,0.6,-46,abstract,0,R-skew,3,0,28,1.0,0.0,0.0,-46,0.4,86.0,0.3,88.0,0.15,92.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3926,0.5457,0.558,0.6025,0.5679,28.0,34.4,0,-46,-46,28,92,64,14.0,22.0,6.4,6.4,6.4,8.0,1.0,0.2,-0.8,-46,0.0,65.67373904,2,10,14.0,42.39811317,0.0,0.979795897,65.67373904,1,0.0,-0.0707070707070707,-0.9999999999999996,-0.2323232323232324,0.5959595959595958,10.999999999999968,0
37,23,0.9,0,64,0.4,-7,abstract,0,-,1,0,0,0.1,23.0,0.9,-7,0.6,64.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3802,0.4099,0.4198,0.3679,0.3728,20.7,21.4,0,-7,-7,23,64,41,11.5,5.7,0.7,0.7,0.7,-5.8,0.9,-0.2,-1.1,-7,6.9,34.78275435,2,10,11.5,18.86843926,0.3,0.979795897,27.88275435,1,0.0,-0.0303030303030303,-0.2631578947368422,0.5757575757575757,0.8989898989898975,14.473684210526264,0
38,24,1.0,24,34,0.05,28,abstract,0,-,1,0,24,1.0,0.0,0.0,28,0.95,34.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9086,0.9778,0.9901,1.0,1.0,24.0,28.3,0,0,0,24,34,10,12.0,6.2,4.3,4.3,4.3,-5.8,1.0,1.0,0.0,0,0.0,1.307669683,2,10,12.0,11.17175009,0.0,0.0,1.307669683,1,1.0,-0.999999999999998,-19.000000000000025,0.999999999999998,0.0,-1.1102230246251563e-16,0
39,29,1.0,29,33,0.8,6,abstract,0,Symm,5,0,29,1.0,0.0,0.0,6,0.2,31.0,0.05,32.0,0.2,33.0,0.3,34.0,0.2,35.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4988,0.6889,0.6963,0.684,0.6642,29.0,27.6,0,0,0,29,35,6,14.5,17.1,-1.4,-1.4,-1.4,2.6,1.0,1.0,0.0,0,0.0,10.83697375,2,10,14.5,11.82057528,0.0,0.0,10.83697375,1,1.0,0.111111111111111,3.0000000000000013,-0.6767676767676762,0.0,-1.1102230246251563e-16,0
40,3,0.8,-37,79,0.4,-46,abstract,0,L-skew,7,0,-37,0.2,3.0,0.8,-46,0.6,-41.0,0.00625,23.0,0.00625,55.0,0.0125,71.0,0.025,79.0,0.05,83.0,0.1,85.0,0.2,0.0,0.0,0.0,0.0,0.4864,0.5358,0.6049,0.6,0.563,-5.0,4.0,-37,-46,-9,3,85,82,-17.0,30.9,9.0,9.0,9.0,47.9,0.6,-0.2125,-0.8125,-9,16.0,62.26716631,2,10,20.0,46.14030776,0.8,0.977161067,46.26716631,1,0.804347826,-0.1515151515151515,-2.263157894736841,-0.9393939393939376,0.999999999999998,10.05263157894734,0
41,29,1.0,29,44,0.4,21,abstract,0,Symm,5,0,29,1.0,0.0,0.0,21,0.6,42.0,0.025,43.0,0.1,44.0,0.15,45.0,0.1,46.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684,0.7309,0.7432,0.679,0.6765,29.0,30.2,0,0,0,29,46,17,14.5,24.1,1.2,1.2,1.2,9.6,1.0,1.0,0.0,0,0.0,11.28538878,2,10,14.5,14.14093349,0.0,0.0,11.28538878,1,1.0,-0.0909090909090909,-0.9999999999999996,-0.999999999999998,0.0,-1.1102230246251563e-16,0
42,-6,1.0,-6,54,0.1,-21,abstract,1,-,1,0,-6,1.0,0.0,0.0,-21,0.9,54.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6049,0.4765,0.2543,0.2272,0.1975,-6.0,-13.5,-6,-21,-15,0,54,54,-3.0,3.3,-1.9,-7.5,-4.7,6.3,-1.0,-0.8,0.2,-15,0.0,22.5,2,10,3.0,17.77914509,0.0,0.6,22.5,1,0.285714286,0.2727272727272727,4.999999999999999,-0.3333333333333335,-0.2727272727272729,-4.999999999999999,0
43,14,1.0,14,12,0.9,9,abstract,0,-,1,0,14,1.0,0.0,0.0,9,0.1,12.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1284,0.0444,0.0025,0.0,0.0049,14.0,11.7,0,0,0,14,12,-2,7.0,2.1,-2.3,-2.3,-2.3,-4.9,1.0,1.0,0.0,0,0.0,0.9,2,10,7.0,3.816018868,0.0,0.0,0.9,1,1.0,0.999999999999998,19.000000000000025,0.8787878787878773,0.0,-1.1102230246251563e-16,0
44,23,1.0,23,24,0.99,-33,abstract,0,-,1,0,23,1.0,0.0,0.0,-33,0.01,24.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2741,0.437,0.4691,0.4938,0.4667,23.0,23.43,0,-33,-33,23,24,1,11.5,-0.9,0.43,0.43,0.43,-12.4,1.0,0.98,-0.02,-33,0.0,5.671428392,2,10,11.5,12.84686732,0.0,0.198997487,5.671428392,1,0.0,-0.0707070707070707,-0.9999999999999996,0.999999999999998,0.0909090909090908,0.9999999999999996,0
45,13,1.0,13,13,1.0,13,abstract,0,Symm,9,0,13,1.0,0.0,0.0,9,0.00390625,10.0,0.03125,11.0,0.109375,12.0,0.21875,13.0,0.2734375,14.0,0.21875,15.0,0.109375,16.0,0.03125,17.0,0.00390625,0.0,0.0,0.4963,0.558,0.5852,0.5333,0.5235,13.0,13.0,0,0,0,13,17,4,6.5,11.7,0.0,0.0,0.0,5.2,1.0,1.0,0.0,0,0.0,1.414213562,2,10,6.5,2.742444165,0.0,0.0,1.414213562,1,1.0,-3.122502256758253e-17,0.0,-0.8383838383838371,0.0,-1.1102230246251563e-16,0
46,37,0.01,9,30,0.6,-37,abstract,0,-,1,0,9,0.99,37.0,0.01,-37,0.4,30.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2691,0.2716,0.3062,0.3012,9.28,3.2,9,-37,-46,37,30,-7,23.0,-0.7,-6.08,-6.08,-6.08,-23.7,1.0,0.2,-0.8,-46,2.785964824,32.82316255,2,10,14.0,15.03389504,0.0,0.979795897,30.03719773,1,0.243243243,0.1717171717171716,3.0000000000000013,0.999999999999998,0.5959595959595958,10.999999999999968,0
47,11,1.0,11,57,0.2,-5,abstract,0,L-skew,6,0,11,1.0,0.0,0.0,-5,0.8,0.0,0.00625,32.0,0.00625,48.0,0.0125,56.0,0.025,60.0,0.05,62.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2148,0.1951,0.2099,0.158,0.1457,11.0,7.4,0,-5,-5,11,62,51,5.5,25.3,-3.6,-3.6,-3.6,19.8,1.0,-0.60625,-1.60625,-5,0.0,25.36217656,2,10,5.5,23.68930138,0.0,0.791334909,25.36217656,1,0.0,0.111111111111111,3.0000000000000013,-0.7373737373737366,0.9595959595959578,19.000000000000025,0
48,-2,1.0,-2,24,0.5,-24,abstract,1,-,1,0,-2,1.0,0.0,0.0,-24,0.5,24.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3901,0.4938,0.516,0.4469,0.4198,-2.0,0.0,-2,-24,-22,0,24,24,-1.0,0.0,-6.666666667,2.0,-2.333333333,1.0,-1.0,0.0,1.0,-22,0.0,24.0,2,10,1.0,10.73312629,0.0,1.0,24.0,1,0.083333333,-0.0707070707070707,-0.9999999999999996,-0.0909090909090909,-0.6969696969696964,-12.999999999999956,0
49,23,1.0,23,23,1.0,23,abstract,0,Symm,3,0,23,1.0,0.0,0.0,22,0.25,23.0,0.5,24.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5383,0.4963,0.4938,0.484,0.4765,23.0,23.0,0,0,0,23,24,1,11.5,6.9,0.0,0.0,0.0,-4.6,1.0,1.0,0.0,0,0.0,0.707106781,2,10,11.5,8.829665905,0.0,0.0,0.707106781,1,1.0,-3.122502256758253e-17,0.0,0.9191919191919176,0.0,-1.1102230246251563e-16,0
