,Problem,Ha,pHa,La,Hb,pHb,Lb,Manipulation,Amb,LotShape,LotNum,Corr,av1,ap1,av2,ap2,bv1,bp1,bv2,bp2,bv3,bp3,bv4,bp4,bv5,bp5,bv6,bp6,bv7,bp7,bv8,bp8,bv9,bp9,bv10,bp10,B1,B2,B3,B4,B5,evA,evB,minA,minB,dMins,maxA,maxB,dMaxs,UEVa,UEVb,dEV0,dEV,dEVfb,dUniEV,EVsa,EVsb,dSignEV,dMins.1,sdA,sdB,countA,countB,usdA,usdB,ssdA,ssdB,dSD,SignMax,RatioMin,pBetter0,pBetterFB,pBetterU,pBetterS,pBetterSFB,Dom
19,20,9,1.0,9,9,1.0,9,abstract,0,R-skew,8,0,9,1.0,,,2,0.5,4.0,0.25,8.0,0.125,16.0,0.0625,32.0,0.03125,64.0,0.015625,128.0,0.0078125,256.0,0.0078125,,,,,0.376,0.376,0.392,0.3632,0.3616,9.0,9.0,9,2,-7,9,256,247,9.0,63.75,0.0,0.0,0.0,54.75,1.0,1.0,0.0,-7,0.0,26.17250466,1,8,0.0,82.8156839,0.0,0.0,26.17250466,1,0.222222222,-3.122502256758253e-17,0.05263157894736842,-0.4949494949494953,0.0,-1.1102230246251565e-16,1
20,21,10,0.5,0,10,0.5,0,abstract,1,-,1,0,0,0.5,10.0,0.5,0,0.5,10.0,0.5,,,,,,,,,,,,,,,,,0.3728,0.416,0.4704,0.48,0.5072,5.0,5.0,0,0,0,10,10,0,5.0,5.0,-1.666666667,0.0,-0.833333333,0.0,0.5,0.5,0.0,0,5.0,5.0,2,2,5.0,5.0,0.5,0.5,0.0,1,1.0,0.0,-1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,1
21,22,10,0.1,0,10,0.1,0,abstract,1,-,1,0,0,0.9,10.0,0.1,0,0.9,10.0,0.1,,,,,,,,,,,,,,,,,0.8208,0.8384,0.7824,0.7072,0.6592,1.0,1.0,0,0,0,10,10,0,5.0,5.0,1.0,0.0,0.5,0.0,0.1,0.1,0.0,0,3.0,3.0,2,2,5.0,5.0,0.3,0.3,0.0,1,1.0,0.0,-1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,1
22,23,10,0.9,0,10,0.9,0,abstract,1,-,1,0,0,0.1,10.0,0.9,0,0.1,10.0,0.9,,,,,,,,,,,,,,,,,0.1456,0.1616,0.2576,0.3248,0.3184,9.0,9.0,0,0,0,10,10,0,5.0,5.0,-4.333333333,0.0,-2.166666667,0.0,0.9,0.9,0.0,0,3.0,3.0,2,2,5.0,5.0,0.3,0.3,0.0,1,1.0,0.0,-1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,1
23,24,-2,1.0,-2,-1,0.5,-3,abstract,0,-,1,0,-2,1.0,,,-3,0.5,-1.0,0.5,,,,,,,,,,,,,,,,,0.4816,0.52,0.4784,0.4784,0.4496,-2.0,-2.0,-2,-3,-1,-2,-1,1,-2.0,-2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1,0.0,1.0,1,2,0.0,1.0,0.0,0.0,1.0,-1,0.666666667,-3.122502256758253e-17,0.0,-3.122502256758253e-17,0.0,-1.1102230246251565e-16,1
24,25,2,1.0,2,3,0.5,1,abstract,0,-,1,0,2,1.0,,,1,0.5,3.0,0.5,,,,,,,,,,,,,,,,,0.4064,0.5008,0.4592,0.4624,0.4944,2.0,2.0,2,1,-1,2,3,1,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1,0.0,1.0,1,2,0.0,1.0,0.0,0.0,1.0,1,0.5,-3.122502256758253e-17,0.05263157894736842,-3.122502256758253e-17,0.0,-1.1102230246251565e-16,1
25,26,16,1.0,16,50,0.4,1,abstract,0,-,1,0,16,1.0,,,1,0.6,50.0,0.4,,,,,,,,,,,,,,,,,0.4992,0.6528,0.6112,0.5968,0.5456,16.0,20.6,16,1,-15,16,50,34,16.0,25.5,4.6,4.6,4.6,9.5,1.0,1.0,0.0,-15,0.0,24.00499948,1,2,0.0,24.5,0.0,0.0,24.00499948,1,0.0625,-0.15151515151515155,-3.0000000000000013,-0.3131313131313133,0.0,-1.1102230246251565e-16,1
26,27,16,1.0,16,48,0.4,1,abstract,0,L-skew,3,0,16,1.0,,,1,0.6,44.0,0.1,48.0,0.1,50.0,0.2,,,,,,,,,,,,,0.504,0.568,0.6,0.5776,0.5728,16.0,19.8,16,1,-15,16,50,34,16.0,35.75,3.8,3.8,3.8,19.75,1.0,1.0,0.0,-15,0.0,23.07726154,1,4,0.0,20.17888748,0.0,0.0,23.07726154,1,0.0625,-0.13131313131313133,-3.0000000000000013,-0.6767676767676762,0.0,-1.1102230246251565e-16,1
27,28,6,0.5,0,9,0.5,0,abstract,0,-,1,-1,0,0.5,6.0,0.5,0,0.5,9.0,0.5,,,,,,,,,,,,,,,,,0.9088,0.8656,0.8256,0.8464,0.8432,3.0,4.5,0,0,0,6,9,3,3.0,4.5,1.5,1.5,1.5,1.5,0.5,0.5,0.0,0,3.0,4.5,2,2,3.0,4.5,0.5,0.5,1.5,1,1.0,-0.6969696969696964,-0.15151515151515144,-0.6969696969696964,0.0,3.122502256758253e-17,1
28,29,2,1.0,2,3,1.0,3,abstract,0,-,1,0,2,1.0,,,3,1.0,,,,,,,,,,,,,,,,,,,0.9664,0.9824,0.9904,0.9888,0.9952,2.0,3.0,2,3,1,2,3,1,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1,0.666666667,-0.999999999999998,-19.000000000000025,-0.999999999999998,0.0,-1.1102230246251565e-16,1
29,30,6,0.5,0,8,0.5,0,abstract,0,-,1,1,0,0.5,6.0,0.5,0,0.5,8.0,0.5,,,,,,,,,,,,,,,,,0.9424,0.9648,0.9632,0.976,0.9792,3.0,4.0,0,0,0,6,8,2,3.0,4.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0,3.0,4.0,2,2,3.0,4.0,0.5,0.5,1.0,1,1.0,-0.6969696969696964,-0.6969696969696964,-0.6969696969696964,0.0,0.0,1
